FID,id,banco,nec,sexo,ec,dna,coleta,genero,especie,nomecomum,geo,latitude,longitude,recebido,local,municipio,st,pais,semregistroi,semregistroii,coletorcam,coletorlab
amostras.fid-7892bbd4_16907168fe7_-7fff,7,ATR-0355,,,,143.5,04/04/13,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-53.0692560495015 -20.4428202310646),,,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ffe,12,ATR-0356,,M,,108,04/06/13,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-55.6019709429463 -20.520969609814),,,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ffd,29,ATR-0357,,M,,11.2,20/04/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-55.0197287652664 -20.4200833562773),,,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ffc,30,ATR-0358,,,,19.5,20/04/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-55.132864425124 -20.4439418167372),,,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ffb,34,ATR-0359,,,,16.2,04/20/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-55.3646894786079 -20.5153718962346),,,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ffa,50,ATR-0360,,M,,11.5,04/30/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-54.5183188857456 -20.8099701410031),,,,BR163/BR267-Nova Alvorada-Casa Verde,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ff9,83,ATR-0361,,,,7,05/14/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-54.533552608968 -20.7512810735738),,,,BR163/BR267-Nova Alvorada-Casa Verde,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ff8,99,ATR-0362,,,,91,05/18/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-55.1719455205665 -20.4527573057221),,,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ff7,115,ATR-0364,,,,13.8,05/28/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-54.5172096264141 -20.8161302303806),,,,BR163/BR267-Nova Alvorada-Casa Verde,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ff6,122,ATR-0366,,,,20.5,05/30/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-51.9547930832546 -20.7794692938385),,,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ff5,123,ATR-0367,,M,,182,05/31/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-55.1293942155789 -20.4432451603474),,,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ff4,124,ATR-0368,,M,,568,05/31/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-56.2425768127785 -20.3118257788726),,,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ff3,135,ATR-0369,,M,,9.5,06/11/13,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-52.5187227411288 -21.7936784416078),,,,BR163/BR267-Nova Alvorada-Bataguaçu,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ff2,136,ATR-0370,,,,12.6,06/13/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-54.0642360280243 -20.466699051164),,,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ff1,137,ATR-0371,,F,,14.7,06/13/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira Mãe,POINT (-53.1200034916396 -20.4219514625676),,,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ff0,138,ATR-0372,,M,,290.5,06/13/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira Filhote,POINT (-53.1200034916396 -20.4219514625676),,,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fef,144,ATR-0373,,,,713.5,06/15/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-54.8989075980641 -20.4297853362389),,,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fee,155,ATR-0374,,,,1007.5,06/25/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-54.4730732932831 -21.1775240492091),,,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fed,168,ATR-0375,,,,10.4,07/09/13,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-53.2776027716776 -21.747684975571),,,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fec,175,ATR-0376,,,,51.5,07/11/13,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-53.4090683678381 -20.466981624267),,,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7feb,176,ATR-0377,,M,,12.1,07/11/13,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-53.393787059503 -20.4640141758351),,,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fea,179,ATR-0378,,M,,26,7/13/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-54.9057564261098 -20.4284950674654),,,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fe9,182,ATR-0379,,,,39.5,7/13/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-55.8490024723875 -20.5048416509923),,,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fe8,192,ATR-0380,,,,5.4,7/22/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-52.8436128835901 -22.2140158440946),,,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fe7,230,ATR-0381,,,,106.5,8/23/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-52.4886745380629 -21.8984310603004),,,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fe6,231,ATR-0382,,,,6.9,8/23/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-52.9524870197882 -22.2053045563398),,,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fe5,233,ATR-0383,,,,70,8/23/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-55.1322713360037 -20.4438541571334),,,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fe4,254,ATR-0384,,M,,648.5,09/07/13,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-56.6260453767553 -20.140490256746),,,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fe3,257,ATR-0385,,M,,359,9/20/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-52.6086547329524 -20.5199662019728),,,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fe2,259,ATR-0386,,M,,70,9/20/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-52.2315974568632 -20.6797022696362),,,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fe1,268,ATR-0387,,,,64.5,10/03/13,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-53.6170907192403 -21.627600757535),,,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fe0,271,ATR-0388,,M,,101,10/03/13,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-53.3104997133965 -22.1206900577995),,,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fdf,278,ATR-0389,,,,203.5,10/05/13,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-56.5259314652433 -20.1795842862601),,,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fde,279,ATR-0390,,M,,932.5,10/05/13,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-56.5599437446914 -20.1662898908932),,,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fdd,280,ATR-0391,,,,230,10/05/13,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-56.6418442505415 -20.1354536537297),,,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fdc,281,ATR-0392,,,,89,10/17/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-54.26360565281 -21.4988154986753),,,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fdb,287,ATR-0393,,M,,330.5,10/18/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-52.1166038355525 -20.7329769183708),,,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fda,288,ATR-0394,,M,,70,10/18/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-52.0325943103135 -20.7590069985773),,,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fd9,294,ATR-0395,,M,,1620,10/19/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-56.4237179387741 -20.2088272988588),,,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fd8,309,ATR-0396,,,,136.5,02/07/14,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-53.2535116012182 -20.4329901510135),,,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fd7,314,ATR-0397,,,,62.5,11/02/13,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-55.6010755699111 -20.5213598917499),,,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fd6,324,ATR-0398,,,,80.5,11/14/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-53.4911107346586 -21.6422679481749),,,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fd5,330,ATR-0399,,M,,56.5,11/14/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-53.3207870912403 -22.1730481183975),,,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fd4,332,ATR-0400,,,,38,11/15/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-54.4512120576577 -20.4711554928878),,,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fd3,346,ATR-0401,,,,213,11/29/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-54.1362237957641 -20.4887906125484),,,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fd2,360,ATR-0402,,,,206,11/30/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-56.2345024256574 -20.3157302232807),,,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fd1,368,ATR-0403,,,,73,12/13/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-53.7028599663916 -20.462452557709),,,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fd0,372,ATR-0404,,M,,796.5,12/14/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-56.5573091854478 -20.1673224597728),,,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fcf,374,ATR-0405,,M,,74.5,12/23/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-54.5656209975106 -20.6475525367639),,,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7fce,381,ATR-0406,,M,,73.5,12/24/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-52.5030322697032 -20.5641040650423),,,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
